sequenceID	source.name	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
AB587965	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587966	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587967	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587968	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587969	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587970	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587971	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587972	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587973	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587974	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587975	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587976	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587977	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587978	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587979	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587980	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587981	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587982	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587983	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587984	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587985	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587986	ncbi-nuccore-short	2	2V	2V_A	-	-
AB597966	ncbi-nuccore-short	1	1I	-	-	-
AB597967	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597968	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597969	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597970	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597971	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597972	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597973	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597974	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597975	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597976	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597977	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB597978	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB597979	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB597980	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB600922	ncbi-nuccore-short	1	1IV	1IV_A	-	-
AB600923	ncbi-nuccore-short	1	1IV	-	-	-
AB600924	ncbi-nuccore-short	1	1IV	-	-	-
AB600925	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600926	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600927	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600928	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600929	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600930	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600931	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600932	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600933	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600934	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600935	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600936	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600937	ncbi-nuccore-short	3	3I	3I_A	-	-
AB600938	ncbi-nuccore-short	3	3I	3I_A	-	-
AB609588	ncbi-nuccore-short	1	-	-	-	-
AB609589	ncbi-nuccore-short	2	-	-	-	-
AB609590	ncbi-nuccore-short	3	-	-	-	-
AB609591	ncbi-nuccore-short	4	-	-	-	-
AB624553	ncbi-nuccore-short	1	1I	-	1I_K3	-
AB624554	ncbi-nuccore-short	1	1I	-	1I_K3	-
AB690858	ncbi-nuccore-short	3	3III	3III_B	3III_B2	-
AB693936	ncbi-nuccore-short	2	2II	2II_A	2II_A2	2II_A2.1
AB710464	ncbi-nuccore-short	4	4II	4II_A	-	-
AB873104	ncbi-nuccore-short	1	1I	-	-	-
AB873105	ncbi-nuccore-short	4	4I	4I_A	4I_A2	-
AB915366	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB915367	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB915368	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB915369	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB915370	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB915371	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB915372	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB915373	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB915374	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB915375	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB915376	ncbi-nuccore-short	1	1I	-	-	-
AB915377	ncbi-nuccore-short	1	1I	-	1I_K2	-
AB915378	ncbi-nuccore-short	1	1I	-	-	-
AB915379	ncbi-nuccore-short	1	1I	-	-	-
AB915380	ncbi-nuccore-short	1	1I	-	-	-
AB915381	ncbi-nuccore-short	1	1I	-	-	-
AB915382	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB915383	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB915384	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AF004019	ncbi-nuccore-short	2	2II	-	-	-
AF004020	ncbi-nuccore-short	2	2II	-	2II_C2	-
AF046855	ncbi-nuccore-short	3	3I	-	-	-
AF046856	ncbi-nuccore-short	3	3I	3I_B	-	-
AF046857	ncbi-nuccore-short	2	2IV	-	-	-
AF046858	ncbi-nuccore-short	2	2IV	-	-	-
AF086718	ncbi-nuccore-short	3	3II	3II_A	-	-
AF086720	ncbi-nuccore-short	3	3II	3II_A	-	-
AF086721	ncbi-nuccore-short	3	3II	3II_A	-	-
AF086722	ncbi-nuccore-short	3	3II	3II_A	3II_A2	-
AF086723	ncbi-nuccore-short	3	3II	3II_A	-	-
AF086725	ncbi-nuccore-short	3	3II	3II_A	-	-
AF086726	ncbi-nuccore-short	3	3II	3II_A	-	-
AF086729	ncbi-nuccore-short	3	3II	3II_A	3II_A2	-
AF086730	ncbi-nuccore-short	3	3II	3II_A	-	-
AF086731	ncbi-nuccore-short	3	3II	3II_A	3II_A2	-
AF086732	ncbi-nuccore-short	3	3II	3II_A	-	-
AF093674	ncbi-nuccore-short	2	2I	-	-	-
AF147457	ncbi-nuccore-short	3	3II	3II_A	-	-
AF147458	ncbi-nuccore-short	3	3II	3II_A	-	-
AF147459	ncbi-nuccore-short	3	3II	3II_A	-	-
AF147460	ncbi-nuccore-short	3	3II	3II_A	-	-
AF163096	ncbi-nuccore-short	2	2III	-	-	-
AF187271	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AF195032	ncbi-nuccore-short	2	2V	-	2V_A3	-
AF195033	ncbi-nuccore-short	2	2V	-	-	-
AF195034	ncbi-nuccore-short	2	2V	-	-	-
AF195035	ncbi-nuccore-short	2	2V	-	-	-
AF195036	ncbi-nuccore-short	2	2V	-	2V_A3	-
AF195037	ncbi-nuccore-short	2	2V	2V_B	-	-
AF195038	ncbi-nuccore-short	2	2V	2V_B	2V_A3	-
AF195039	ncbi-nuccore-short	2	2V	-	-	-
AF195040	ncbi-nuccore-short	2	2III	2III_A	-	-
AF195041	ncbi-nuccore-short	2	2III	-	2III_A2	-
AF195042	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF195043	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF231715	ncbi-nuccore-short	2	2II	-	-	-
AF231716	ncbi-nuccore-short	2	2II	-	-	-
AF231717	ncbi-nuccore-short	2	2VI	-	-	-
AF231718	ncbi-nuccore-short	2	2VI	-	-	-
AF231719	ncbi-nuccore-short	2	2VI	-	-	-
AF231720	ncbi-nuccore-short	2	2VI	-	-	-
AF231721	ncbi-nuccore-short	1	-	-	-	-
AF231722	ncbi-nuccore-short	4	4I	-	-	-
AF231723	ncbi-nuccore-short	4	-	-	-	-
AF231724	ncbi-nuccore-short	4	-	-	-	-
AF231725	ncbi-nuccore-short	4	-	-	-	-
AF231726	ncbi-nuccore-short	4	4II	4II_B	-	-
AF264053	ncbi-nuccore-short	2	2V	-	-	-
AF264054	ncbi-nuccore-short	2	2I	-	-	-
AF295694	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF295695	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF295696	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF295697	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF295698	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF295699	ncbi-nuccore-short	2	2IV	-	-	-
AF295700	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF297004	ncbi-nuccore-short	2	2IV	-	-	-
AF297005	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF297006	ncbi-nuccore-short	2	2IV	-	-	-
AF297007	ncbi-nuccore-short	2	2IV	-	-	-
AF297008	ncbi-nuccore-short	2	2IV	-	-	-
AF297009	ncbi-nuccore-short	2	2IV	2II_B	-	-
AF349753	ncbi-nuccore-short	3	3II	3II_A	-	-
AF360860	ncbi-nuccore-short	2	2III	2III_D	-	-
AF360861	ncbi-nuccore-short	2	2III	2III_D	-	-
AF360862	ncbi-nuccore-short	2	2III	-	-	-
AF360863	ncbi-nuccore-short	2	2III	2III_B	2III_D1	-
AF363069	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363070	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363071	ncbi-nuccore-short	2	2III	2III_D	-	2III_D1.3
AF363072	ncbi-nuccore-short	2	2III	-	-	-
AF363073	ncbi-nuccore-short	2	2III	2III_D	-	2III_D1.3
AF363074	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363075	ncbi-nuccore-short	2	2III	2III_D	-	2III_D1.3
AF363076	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363077	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363078	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363079	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363080	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363081	ncbi-nuccore-short	2	2III	-	-	-
AF363082	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363083	ncbi-nuccore-short	2	2III	-	-	-
AF363084	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363085	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363086	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363087	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363088	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363089	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363090	ncbi-nuccore-short	2	2III	2III_D	-	-
AF363091	ncbi-nuccore-short	2	2III	2III_D	-	2III_D1.3
AF363092	ncbi-nuccore-short	2	2III	2III_D	-	-
AF378163	ncbi-nuccore-short	2	2I	-	-	-
AF378166	ncbi-nuccore-short	2	2III	-	-	-
AF378167	ncbi-nuccore-short	2	2III	-	-	-
AF378168	ncbi-nuccore-short	1	1V	-	-	-
AF378169	ncbi-nuccore-short	1	1V	-	-	-
AF378170	ncbi-nuccore-short	1	1V	-	-	-
AF398106	ncbi-nuccore-short	2	2III	-	-	-
AF398107	ncbi-nuccore-short	2	2III	2III_D	-	2III_D1.3
AF398108	ncbi-nuccore-short	2	2III	2III_D	-	-
AF398109	ncbi-nuccore-short	2	2III	2III_D	-	2III_D1.3
AF398110	ncbi-nuccore-short	2	2III	2III_D	-	-
AF398111	ncbi-nuccore-short	2	2III	2III_D	-	-
AF398112	ncbi-nuccore-short	2	2III	2III_D	-	-
AF398113	ncbi-nuccore-short	2	2III	2III_D	-	-
AF398114	ncbi-nuccore-short	2	2III	2III_D	-	-
AF410345	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410346	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410347	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410349	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410350	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410351	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410352	ncbi-nuccore-short	2	2III	2III_A	-	-
AF410353	ncbi-nuccore-short	2	2III	2III_A	2III_A1	-
AF410354	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410355	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410356	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410357	ncbi-nuccore-short	2	2III	2III_A	2III_A1	-
AF410359	ncbi-nuccore-short	2	2III	2III_A	2III_A1	-
AF410360	ncbi-nuccore-short	2	2III	2III_A	2III_A1	-
AF410366	ncbi-nuccore-short	2	2III	2III_A	2III_A1	-
AF410367	ncbi-nuccore-short	2	2III	2III_A	2III_A2	-
AF410368	ncbi-nuccore-short	2	2II	-	-	-
AF410369	ncbi-nuccore-short	2	2II	2II_F	-	2II_F2.2
AF410370	ncbi-nuccore-short	2	2II	2II_A	2II_A1	-
AF410371	ncbi-nuccore-short	2	2II	2II_A	-	-
AF410372	ncbi-nuccore-short	2	2II	-	-	-
AF410373	ncbi-nuccore-short	2	2II	2II_A	2II_A1	-
AF410374	ncbi-nuccore-short	2	2II	2II_A	2II_A1	-
AF410375	ncbi-nuccore-short	2	2II	-	-	-
AF410376	ncbi-nuccore-short	2	2II	2II_F	-	2II_F2.2
AF410377	ncbi-nuccore-short	2	2II	-	2II_C2	-
AF410378	ncbi-nuccore-short	2	2II	-	-	-
AF410379	ncbi-nuccore-short	2	2II	-	-	-
AF425609	ncbi-nuccore-short	1	1V	-	-	-
AF425610	ncbi-nuccore-short	1	1V	-	-	-
AF425611	ncbi-nuccore-short	1	1IV	-	-	-
AF425612	ncbi-nuccore-short	1	1IV	-	-	-
AF425613	ncbi-nuccore-short	1	1V	-	-	-
AF425614	ncbi-nuccore-short	1	1V	-	-	-
AF425615	ncbi-nuccore-short	1	-	-	-	-
AF425616	ncbi-nuccore-short	1	1V	-	-	-
AF425617	ncbi-nuccore-short	1	1V	-	-	-
AF425618	ncbi-nuccore-short	1	1V	-	-	-
AF425619	ncbi-nuccore-short	1	-	-	-	-
AF425620	ncbi-nuccore-short	1	-	-	-	-
AF425621	ncbi-nuccore-short	1	1V	-	-	-
AF425622	ncbi-nuccore-short	1	-	-	-	-
AF425623	ncbi-nuccore-short	1	1V	-	-	-
AF425624	ncbi-nuccore-short	1	1V	-	-	-
AF425625	ncbi-nuccore-short	1	-	-	-	-
AF425626	ncbi-nuccore-short	1	1V	-	-	-
AF425627	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AF425628	ncbi-nuccore-short	1	1I	1I_B	-	-
AF425629	ncbi-nuccore-short	1	-	-	-	-
AF425630	ncbi-nuccore-short	1	1I	1I_B	-	-
AF425631	ncbi-nuccore-short	1	1V	-	-	-
AF425632	ncbi-nuccore-short	1	1V	-	-	-
AF425633	ncbi-nuccore-short	1	1V	-	-	-
AF425634	ncbi-nuccore-short	1	1V	-	-	-
AF425635	ncbi-nuccore-short	1	1V	-	-	-
AF425636	ncbi-nuccore-short	1	1V	-	-	-
AF425637	ncbi-nuccore-short	1	1V	-	-	-
AF425638	ncbi-nuccore-short	1	1V	-	-	-
AF425639	ncbi-nuccore-short	1	1V	-	-	-
AF426110	ncbi-nuccore-short	1	1V	-	-	-
AF426111	ncbi-nuccore-short	1	1V	-	-	-
AF426112	ncbi-nuccore-short	1	1IV	-	-	-
AF426113	ncbi-nuccore-short	1	1V	-	-	-
AF426114	ncbi-nuccore-short	1	-	-	-	-
AF426115	ncbi-nuccore-short	1	1V	-	-	-
AF426116	ncbi-nuccore-short	1	1V	-	-	-
AF426117	ncbi-nuccore-short	1	1V	-	-	-
AF426118	ncbi-nuccore-short	1	1V	-	-	-
AF426119	ncbi-nuccore-short	1	-	1I_B	-	-
